,0
0,172.5210231666843
1,95.58394764208754
2,150.11686189951587
3,162.17569347508635
4,143.77445479655057
5,119.20658059953217
6,77.59630947451365
7,126.73195820969096
8,210.75627480517534
9,108.83941244982975
10,34.01985477404307
11,126.40836826587082
12,136.35465432422416
13,184.57055650497625
14,277.32354052505724
15,190.6937444117683
16,189.77371093780147
17,178.05620024480737
18,151.60141188947432
19,140.28241669566182
20,126.54403304782971
21,169.2697324308536
22,200.48474066077569
23,131.66460800326598
24,152.0164990100506
25,209.67378597308107
26,58.76091185397934
27,148.73282968196952
28,100.38909457697895
29,166.34513617254424
30,212.5452611613498
31,85.59640522558306
32,121.65023504566562
33,75.91766483880241
34,143.33345975755014
35,208.91817333338804
36,60.313369822916115
37,195.36990128252893
38,225.19992892511698
39,229.79633738233827
40,141.05438051429917
41,167.9088751831615
42,188.28987255812308
43,113.09137322608865
44,166.39279151661054
45,216.18568949032948
46,186.7789172116565
47,204.36199048047877
48,123.93500473759502
49,187.280109335043
50,177.93080987683373
51,134.66792749691473
52,150.1189310916792
53,106.21277989727048
54,162.29289507858118
55,193.52917741218937
56,135.61290666425356
57,129.46431137521785
58,92.10859632276407
59,212.43954660460776
60,95.69887802530405
61,210.60924475590411
62,131.962233163738
63,165.28820537638546
64,137.47959934792618
65,65.69856606354995
66,80.4553622491726
67,226.46666432730206
68,196.4330246848021
69,226.64673972852353
70,57.30233876005042
71,95.48772076340242
72,220.7774309894387
73,111.39070084941096
74,178.28595663858783
75,111.32551131189126
76,152.14222542932055
77,200.67607717886523
78,98.6426706558118
79,149.61913794208368
80,165.75941378648372
81,99.3810422605294
82,157.0587113107768
83,141.2946826258754
84,187.5405651069441
85,196.70709847344875
86,193.1051813205881
87,71.4596909504636
88,137.43155713194705
89,97.94582424315365
90,162.3555906582535
91,147.74944475540912
92,117.48101134397615
93,155.00400656705887
94,130.3778841167785
95,162.80333717272828
96,84.20681470512369
97,163.46719961827176
98,135.43459675539015
99,186.27089396033898
100,80.56020636337087
101,73.99310050542312
102,201.68474429250864
103,171.78891574274815
104,145.93886583702272
105,220.42341440624887
106,160.181238616654
107,203.85791642291508
108,154.57155921517153
109,145.3627288391076
110,128.42996476577923
111,161.43782664913095
112,139.6828175102982
113,93.89204720364006
114,97.40639414082966
115,226.52701680318035
116,174.6881597160163
117,186.31144098392508
118,117.8011465385639
119,135.45876188796842
120,64.8508917705334
121,137.98290781235767
122,150.5371160560316
123,127.68440439291084
124,86.47917793233773
125,220.77822446890332
126,99.62519281599049
127,100.44300074049374
128,116.901978482662
129,115.40470444139561
130,185.00578319641704
131,136.9069887079359
132,153.43980546807074
133,142.15137555647084
134,210.82332645841933
135,145.58300610514988
136,167.5960857133204
137,67.37050616587749
138,157.35342521499274
139,181.53059955262972
140,212.75077507168226
141,112.48770430763034
142,96.75326636308603
143,99.00889250901088
144,142.58685131912915
145,106.25265602923338
146,152.71835719059368
147,96.56450830156837
148,194.66017659680108
149,226.76037282368839
150,240.55186319121987
151,246.01000939193017
152,167.5171579562279
153,175.4133611888027
154,248.787344123597
155,108.71635130762922
156,242.79864037569803
157,119.26482502145541
158,90.67540276025159
159,102.74047442623811
160,59.74216119730323
161,97.57949319586152
162,239.0700059893208
163,60.16139154761271
164,127.94225399189884
165,138.9470261687219
166,39.38592351599942
167,140.71761205322684
168,202.33267022990765
169,102.39547844196352
170,178.8322851763093
171,149.73342201952045
172,156.33136293426668
173,204.42038913833784
174,150.09916773695738
175,146.19709738430913
176,193.94910919938053
177,101.25200579282154
178,120.9740375185059
179,131.0640282654121
180,167.96266532376706
181,114.99867488085874
182,119.8996854336716
183,74.3148252823733
184,161.7960638317702
185,171.75554011489783
186,81.64024079412872
187,151.4141411674529
188,79.67184753993797
189,210.76537326192658
190,207.03128107275757
191,209.1042440758868
192,87.7429834847976
193,151.47606062231114
194,87.06835078165363
195,179.9133104283909
196,78.29114199838654
197,102.84360205021699
198,119.55807819511205
199,121.8064958607689
200,208.059470805481
201,110.42169679089108
202,183.0190760264677
203,223.40418204563463
204,106.99952411702003
205,141.05861661679103
206,130.19795595796836
207,135.79291503457642
208,90.25650140455656
209,147.52703412495254
210,166.41995158258578
211,162.0150515428271
212,114.42942858796971
213,210.9942293095802
214,161.03024829656113
215,118.33863913041057
216,202.31094570303406
217,136.13505257573723
218,148.16934453316958
219,159.77241090974758
220,169.56115506668453
221,226.25487623074065
222,252.8728515849371
223,220.44157820728572
224,178.23148804026255
225,211.42466276558065
226,157.79407115801376
227,200.40592545284824
228,172.49590524733156
229,104.63899402798029
230,142.3659183736566
231,109.74252112078358
232,247.8203125178004
233,168.22017332736448
234,91.5266049609678
235,83.29127952374836
236,215.31056189376272
237,149.86645643416585
238,123.05868709184392
239,159.3903680880495
240,132.87864296329695
241,172.27279979927704
242,149.3904550268316
243,119.51879467808476
244,139.04804985344686
245,133.78757971114993
246,188.03630476758826
247,129.40622803799022
248,117.15381327649715
249,91.49976947725855
250,222.1208096627201
251,96.0755431733491
252,84.76483468807959
253,201.19212969875997
254,208.17983807742996
255,119.83080448759125
256,112.06924534328857
257,220.85917794671553
258,48.10212221920813
259,151.68984414334233
260,164.6805602954941
261,94.32826325486013
262,208.23787769758042
263,154.9469871944599
264,140.27182664760687
265,138.40600782011853
266,250.7125404477522
267,248.4135704132063
268,198.6472347073086
269,159.78526669049523
270,66.33453412015916
271,230.4429806598576
272,120.4757994250287
273,118.89908050729542
274,139.5383126577542
275,165.8997107789919
276,196.28117613834934
277,163.32757345989893
278,171.14441617354748
279,104.48811045738148
280,140.728593249953
281,100.03561914498874
282,257.80733979244917
283,123.91449467772378
284,145.35676463604233
285,131.6997131059431
286,97.3121650049631
287,85.2921527277025
288,168.73189023762671
289,116.11336883303659
290,255.6805544968833
291,49.9724496045294
292,89.10299433374485
293,97.73663175954164
294,254.19005363781105
295,171.08177344463576
296,65.51097122145353
297,174.52236317845296
298,192.8256749736001
299,192.19593641948893
300,143.82750347171458
301,82.16173810345646
302,129.61820114135776
303,239.81162094525484
304,167.5735737459887
305,262.8926078692705
306,74.19070577162506
307,149.582147091413
308,166.53639614867984
309,159.18071943814255
310,184.66257467187438
311,150.17088550835444
312,184.0352626303627
313,111.25226968871033
314,171.84919847524856
315,147.74738504566977
316,170.91818476926505
317,142.81526074713037
318,96.44696331391782
